product,rating,rating count,price,product url
MOERDENG Women's Waterproof Ski Jacket Warm Winter Snow Coat Mountain Windbreaker Hooded Raincoat Jacket  ,4.5 out of 5 stars,"25,623  ",69.99,https://amazon.com/MOERDENG-Waterproof-Mountain-Windbreaker-Raincoat/dp/B07W7DDHJX/ref=sr_1_13?keywords=winter+jacket&qid=1665251387&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-13
Men's Waterproof Ski Jacket Warm Winter Snow Coat Hooded Raincoat  ,4.6 out of 5 stars,"5,410  ",54.99,https://amazon.com/Waterproof-Jacket-Winter-Hooded-Raincoat/dp/B08GH9B7QY/ref=sr_1_14?keywords=winter+jacket&qid=1665251387&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-14
Levi's Men's Washed Cotton Hooded Military Jacket  ,4.6 out of 5 stars,"7,135  ",89.99,https://amazon.com/Washed-Cotton-Hooded-Military-Jacket/dp/B00JB8Q344/ref=sr_1_15?keywords=winter+jacket&qid=1665251387&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-15
CRYSULLY Men's Military Tactical Sport Warm Fleece Hooded Outdoor Adventure Jacket Coats  ,4.3 out of 5 stars,"4,144  ",43.98,https://amazon.com/CRYSULLY-Winter-Travelling-Fatigue-Outdoors/dp/B07GBMWK5R/ref=sr_1_16?keywords=winter+jacket&qid=1665251387&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-16
Amazon Essentials Men's Sherpa Fleece Full-Zip Jacket  ,4.2 out of 5 stars,"1,361  ",30.5,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0133330ZQ0OK4OEJWJN&url=%2FAmazon-Essentials-Standard-Full-Zip-X-Small%2Fdp%2FB07P1DK56G%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Dwinter%2Bjacket%26qid%3D1665251387%26qu%3DeyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%253D%253D%26sr%3D8-17-spons%26psc%3D1&qualifier=1665251387&id=4555144636662796&widgetName=sp_mtf
EKLENTSON Jackets for Men Thick Thermal Winter Fleece Lined Lapel Cargo Jackets  ,4.5 out of 5 stars,51  ,69.98,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A07729793HQRHWQUXUD3S&url=%2FEKLENTSON-Classic-Hunting-Working-Jackets%2Fdp%2FB09L4NBT61%2Fref%3Dsr_1_18_sspa%3Fkeywords%3Dwinter%2Bjacket%26qid%3D1665251387%26qu%3DeyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%253D%253D%26sr%3D8-18-spons%26psc%3D1%26smid%3DA3HTMSJMNP2EUL&qualifier=1665251387&id=4555144636662796&widgetName=sp_mtf
EKLENTSON Men's Cotton Lightweight Multi Pockets Zip Front Stand Collar Military Jackets Windbreaker  ,4.5 out of 5 stars,"3,712  ",49.98,https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A103893111FUEFHT0Z1HX&url=%2FEKLENTSON-Utility-Windbreaker-Military-Tactical%2Fdp%2FB0B7HHV2KL%2Fref%3Dsr_1_20_sspa%3Fkeywords%3Dwinter%2Bjacket%26qid%3D1665251387%26qu%3DeyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%253D%253D%26sr%3D8-20-spons%26psc%3D1%26smid%3DA3HTMSJMNP2EUL&qualifier=1665251387&id=4555144636662796&widgetName=sp_mtf
Amazon Essentials Girls and Toddlers' Lightweight Water-Resistant Packable Hooded Puffer Jacket  ,4.6 out of 5 stars,"6,071  ",39.4,https://amazon.com/Amazon-Essentials-Lightweight-Water-Resistant-Packable/dp/B07Q394Z77/ref=sr_1_21?keywords=winter+jacket&qid=1665251387&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-21
Columbia Women's Heavenly Long Hooded Jacket  ,4.7 out of 5 stars,"5,226  ",95.22,https://amazon.com/Columbia-Womens-Heavenly-Hooded-Jacket/dp/B01N48I4ZV/ref=sr_1_22?keywords=winter+jacket&qid=1665251387&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-22
Men's Mountain Waterproof Ski Jacket Windproof Rain Windbreaker Winter Warm Hooded Snow Coat  ,4.6 out of 5 stars,"2,110  ",54.99,https://amazon.com/Mountain-Waterproof-Jacket-Windproof-Windbreaker/dp/B097H3Q84Q/ref=sr_1_23?keywords=winter+jacket&qid=1665251387&qu=eyJxc2MiOiI5LjYyIiwicXNhIjoiOS4wMCIsInFzcCI6IjcuOTcifQ%3D%3D&sr=8-23
